Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Death Rate,Recovery Rate
Afghanistan,36263,1269,25198,9796,106,10,18,3.499434685492099,69.48680473209608
Albania,4880,144,2745,1991,117,6,63,2.9508196721311477,56.25
Algeria,27973,1163,18837,7973,616,8,749,4.1575805240767885,67.33993493726092
Andorra,907,52,803,52,10,0,0,5.733186328555679,88.53362734288865
Angola,950,41,242,667,18,1,0,4.315789473684211,25.473684210526315
Antigua and Barbuda,86,3,65,18,4,0,5,3.488372093023256,75.5813953488372
Argentina,167416,3059,72575,91782,4890,120,2057,1.827184976346347,43.35009795957376
Armenia,37390,711,26665,10014,73,6,187,1.901577962021931,71.31585985557636
Australia,15303,167,9311,5825,368,6,137,1.0912892896817616,60.84427889956218
Austria,20558,713,18246,1599,86,1,37,3.46823620974803,88.75376982196713
Azerbaijan,30446,423,23242,6781,396,6,558,1.389345069959929,76.33843526243184
Bahamas,382,11,91,280,40,0,0,2.8795811518324608,23.82198952879581
Bahrain,39482,141,36110,3231,351,1,421,0.3571247657160225,91.45939921989768
Bangladesh,226225,2965,125683,97577,2772,37,1801,1.310642059896121,55.5566360923859
Barbados,110,7,94,9,0,0,0,6.363636363636363,85.45454545454545
Belarus,67251,538,60492,6221,119,4,67,0.7999881042661077,89.94959182763081
Belgium,66428,9822,17452,39154,402,1,14,14.785933642439936,26.272053953152287
Belize,48,2,26,20,0,0,0,4.166666666666666,54.166666666666664
Benin,1770,35,1036,699,0,0,0,1.977401129943503,58.53107344632769
Bhutan,99,0,86,13,4,0,1,0.0,86.86868686868688
Bolivia,71181,2647,21478,47056,1752,64,309,3.718688975990784,30.173782329554232
Bosnia and Herzegovina,10498,294,4930,5274,731,14,375,2.8005334349399886,46.96132596685083
Botswana,739,2,63,674,53,1,11,0.2706359945872801,8.525033829499323
Brazil,2442375,87618,1846641,508116,23284,614,33728,3.5874097957930293,75.60841394134808
Brunei,141,3,138,0,0,0,0,2.127659574468085,97.87234042553192
Bulgaria,10621,347,5585,4689,194,7,230,3.267112324639864,52.584502400903865
Burkina Faso,1100,53,926,121,14,0,6,4.818181818181818,84.18181818181819
