Input_Movie,title,Similarity
Avatar,Falcon Rising,0.2
Avatar,Battle: Los Angeles,0.1941
Avatar,Apollo 18,0.1797
Avatar,Star Trek Into Darkness,0.1623
Avatar,Titan A.E.,0.1546
Titanic,Ghost Ship,0.2178
Titanic,Poseidon,0.2083
Titanic,In the Heart of the Sea,0.1978
Titanic,The Bounty,0.1915
Titanic,Captain Phillips,0.1887
The Dark Knight,The Dark Knight Rises,0.4338
The Dark Knight,Batman Returns,0.3696
The Dark Knight,Batman Begins,0.3369
The Dark Knight,"Batman: The Dark Knight Returns, Part 2",0.3027
The Dark Knight,Batman Forever,0.2808
